|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB090129880|  16.640|    3.328|       3.9161|             0.7735|
|GRB110505203|   4.096|    0.545|       3.4319|             0.5055|
|GRB120526303|  43.649|    1.002|      12.6267|             2.0700|
|GRB120429484|  15.360|    1.619|       1.8719|             0.4384|
|GRB130112353|   2.048|    1.557|       4.2181|             0.6001|
|GRB081206604|   7.936|    4.382|       0.6616|             0.2411|
|GRB120415076|  12.544|    4.128|       2.6864|             0.4764|
|GRB120711446|  87.552|    3.874|       0.7284|             0.3417|
|GRB090513916|  25.280|    7.146|       2.1172|             0.7731|
|GRB111010660|   8.704|    2.111|       1.6051|             0.4354|
|GRB120811014|   0.448|    0.091|       8.1559|             0.9514|
|GRB090101758| 108.802|    1.619|       6.4406|             0.9502|
|GRB120710100| 131.840|    1.056|       1.9917|             0.4407|
|GRB091122163|   2.944|    1.280|       0.9230|             0.5387|
|GRB120219563|   8.128|    0.429|       0.7757|             0.2482|
|GRB101214993|  11.520|    3.665|       1.6586|             0.3948|
|GRB091006360|   0.192|    0.091|       2.4740|             0.5243|
|GRB090112332|  58.369|    4.783|       3.4438|             0.5955|
|GRB080904886|  17.344|    1.385|       3.7917|             1.2255|
|GRB111221739|  27.136|    7.186|      10.6449|             1.3495|
|GRB120703726|   8.960|    1.379|      11.9173|             0.7250|
|GRB091123298| 624.459|    3.367|       4.3698|             0.7415|
|GRB100306199|   7.168|    2.064|       1.3160|             0.3962|
|GRB110703557|   6.720|    1.619|       2.8931|             0.4360|
|GRB101101899|  31.232|    1.619|       1.4816|             0.4395|
|GRB100517072|  55.808|    1.810|       3.9722|             0.9518|
|GRB110904163|  51.457|    4.128|       2.2663|             0.4238|
|GRB120830297|   0.896|    0.231|       5.0566|             0.7302|
|GRB090621417|  27.009|    6.136|       2.3568|             0.7029|
|GRB110731465|   7.485|    0.572|      12.2549|             0.9521|
|GRB090509215| 282.372|    3.167|       2.3058|             0.4942|
|GRB101214748|   2.240|    2.084|       5.0164|             0.7551|
|GRB121029350|  15.808|    0.572|      12.7387|             0.7148|
|GRB100326294|   5.632|    2.064|       2.8429|             0.5056|
|GRB081101532|   8.256|    0.889|       6.2410|             1.3859|
|GRB130406334|  88.832|    3.444|       2.5842|             0.7198|
|GRB110921912|  17.664|    0.345|      19.4147|             1.2079|
|GRB100311518|   9.024|    1.042|       2.3293|             0.8358|
|GRB100207665|  15.360|    3.874|       1.7696|             0.8981|
|GRB130209961|   9.790|    0.408|       6.6967|             0.6558|
|GRB110920546| 160.771|    5.221|       9.2534|             0.8625|
|GRB101002279|   7.168|    2.290|       1.0043|             0.4068|
|GRB100101028|   2.816|    0.320|       2.2897|             0.7876|
|GRB081028538|  13.312|    1.280|       3.1444|             0.8462|
|GRB100619015|  96.002|    1.319|       3.3307|             1.0158|
|GRB110509475|   0.640|    0.779|       4.9909|             0.5519|
|GRB101117496|  50.177|    1.639|       2.7254|             0.5998|
|GRB110522633|  58.112|    2.828|       3.4219|             0.5397|
|GRB100816009|  62.401|    5.278|       4.6276|             1.3468|
|GRB090510016|   0.960|    0.138|      16.2244|             1.5804|
|GRB120817168|   0.160|    0.113|      19.2841|             1.4443|
|GRB101017619|  47.872|    1.950|       1.1239|             0.3250|
|GRB100325275|   7.104|    1.619|       4.5335|             0.6307|
|GRB090828099|  68.417|    3.167|       7.0585|             1.2075|
|GRB120920003|  28.160|    4.382|       1.0604|             0.3404|
|GRB120608489|   0.960|    1.611|       4.1761|             0.6471|
|GRB120908938|  66.945|    2.988|       2.2235|             0.5731|
|GRB100421917|  62.465|    1.639|       2.2867|             0.5470|
|GRB081021398|  26.112|    3.974|       2.8570|             1.0690|
|GRB090904058|  56.065|    1.846|       3.5713|             0.6687|
|GRB110725236|  20.224|    1.056|       2.4272|             0.4588|
|GRB100922625|   4.352|    0.923|       0.6182|             0.2499|
|GRB090908341|  36.864|    0.923|       2.7233|             0.7099|
|GRB121028280|  11.008|    2.360|       1.7332|             0.3781|
|GRB090909854|   1.152|    2.244|       2.6591|             0.4542|
|GRB120619884|   0.960|    0.960|       2.7166|             0.6144|
|GRB100929916|   0.320|    0.143|       7.8795|             1.0768|
|GRB100130729|  99.586|    2.415|       4.1581|             0.6175|
|GRB120412055|   9.728|    3.566|       1.7663|             0.5010|
|GRB081221681|  29.697|    0.410|      12.0097|             1.3594|
|GRB100704149| 171.523|    2.673|       4.6822|             0.6790|
|GRB101227406| 153.347|    2.573|       4.3738|             0.5870|
|GRB090514726|   2.240|    0.286|       7.1787|             1.0333|
|GRB090228204|   0.448|    0.143|      60.9947|             2.1860|
|GRB110909116|  20.736|    1.639|      12.3340|             2.5990|
|GRB120504945|   5.760|    0.779|       2.4778|             0.6627|
