|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB100621452| 122.626|    0.923|       2.3188|             0.4448|
|GRB100219026|  59.712|    4.955|       2.9418|             1.0797|
|GRB110130230|  47.360|    2.187|       1.2280|             0.3464|
|GRB091209001|  42.945|    8.035|       3.7638|             0.9525|
|GRB120509619|   0.704|    1.404|       1.7873|             0.4821|
|GRB121125469|  12.864|    4.844|       1.0865|             0.3254|
|GRB081105614|   1.280|    1.368|       3.5032|             0.6914|
|GRB110920338|   9.728|    0.810|       4.1196|             0.6396|
|GRB091107635|  11.008|   10.546|       1.6978|             0.3212|
|GRB101112924|   9.472|    2.996|       4.1800|             0.7450|
|GRB100923844|  51.713|    5.838|       1.9052|             0.5578|
|GRB090428441|   3.968|    1.506|       5.0838|             0.8969|
|GRB081122520|  23.296|    2.111|       9.4373|             1.0494|
|GRB120105584|  22.528|    2.202|       1.4206|             0.3608|
|GRB110705151|   0.192|    0.036|      18.2507|             1.3184|
|GRB120713226|  13.824|    3.435|       1.0412|             0.4146|
|GRB110916016|   1.792|    1.993|       1.6525|             0.4640|
|GRB090422150|   9.216|    0.362|       1.7116|             0.4279|
|GRB111208353|  40.961|    4.345|       1.3960|             0.4201|
|GRB080802386|   0.576|    0.091|       6.3299|             1.1162|
|GRB130219775|  96.129|    0.405|       8.8540|             0.7839|
|GRB100614498| 172.291|   12.447|       1.6404|             0.7978|
|GRB110709642|  43.201|    0.405|       8.1759|             0.8485|
|GRB130118482|  21.568|   14.999|       0.7979|             0.2546|
|GRB100525744|   1.472|    1.974|       5.6049|             0.9607|
|GRB121011469|  65.793|    4.382|       1.6939|             0.3961|
|GRB120224282|  60.929|    3.093|       2.7399|             0.5511|
|GRB090126245|   0.960|    0.231|       2.4059|             0.4846|
|GRB100718796|  38.656|    8.002|       1.0934|             0.3597|
|GRB120605453|  18.112|    1.086|       5.9362|             0.7073|
|GRB130204484|   0.192|    0.091|       4.1482|             0.6890|
|GRB111010709|  52.993|    0.923|       3.0182|             0.4825|
|GRB110903009|  27.133|    0.571|       7.9597|             0.9014|
|GRB110107886| 183.555|   24.407|       1.6172|             0.4203|
|GRB091109895|  30.977|    4.580|       5.1848|             0.6334|
|GRB100902990|  22.272|    3.338|       1.6815|             0.4690|
|GRB080816503|  64.769|    1.810|       5.6403|             0.7107|
|GRB100609783| 111.618|    2.111|       2.6285|             0.5044|
|GRB130406354|   2.560|    1.619|       1.2429|             0.4032|
|GRB110422029|   0.320|    0.453|       2.7608|             0.4072|
|GRB110328520|  83.970|    3.482|       4.3819|             0.6293|
|GRB090520832|   0.768|    0.834|       2.7647|             1.0069|
|GRB100424876| 169.987|    3.557|       3.1827|             0.8121|
|GRB101010190|  65.025|    6.165|       1.2449|             0.4189|
|GRB101027230|   1.344|    1.802|       2.8260|             0.6026|
|GRB111010237|  82.433|    8.444|       1.7772|             0.4850|
|GRB130409960|  26.112|    1.056|       4.1765|             0.6005|
|GRB090817036|  52.417|   10.657|       3.5254|             0.7018|
|GRB130407800|  32.000|    9.137|       1.0738|             0.3417|
|GRB080919790|   0.512|    0.405|       0.9918|             0.2962|
|GRB110609185|   9.984|    4.471|       0.9822|             0.4381|
|GRB111109873|   9.664|    6.457|       8.8103|             2.4935|
|GRB101025267|  30.976|    0.923|       0.9265|             0.5787|
|GRB090222179|  17.408|    3.238|       2.1647|             0.7044|
|GRB121117018| 331.782|    4.048|       2.1007|             0.4019|
|GRB081130212|   2.240|    1.002|       1.2200|             0.4717|
|GRB101224227|   1.728|    1.680|       2.7710|             0.4365|
|GRB090108020|   0.704|    0.143|      13.1317|             0.7542|
|GRB090814950| 108.610|    8.816|       3.2232|             0.9611|
|GRB101101744|   3.328|    2.862|       2.1791|             0.5097|
|GRB101220576|  72.449|    4.048|       3.3515|             0.8746|
|GRB120703498|  77.568|    2.187|       1.8952|             0.5375|
|GRB080806896|  75.777|    4.185|       3.8278|             0.8532|
|GRB121122564|   8.704|    0.724|       1.3712|             0.3927|
|GRB130314147| 142.851|    2.360|       2.6007|             0.4763|
|GRB120504468|  41.985|    2.673|       1.0074|             0.3777|
|GRB100706693|   0.128|    0.143|       2.3988|             0.6945|
|GRB110106893|  35.521|    3.612|       1.5218|             0.4996|
|GRB100328141|   0.384|    0.143|       6.5266|             0.6181|
|GRB090403314|  14.848|    1.846|       1.4096|             0.3991|
|GRB101021063|   1.536|    2.360|       2.4313|             0.4726|
|GRB090529564|   9.853|    0.179|      15.7348|             1.1543|
|GRB110117364|  72.448|    9.051|       2.1488|             0.7710|
|GRB100802240|  28.672|    3.167|       1.5407|             0.4346|
|GRB120118898|  17.152|    2.111|       7.4044|             0.7178|
|GRB080805496|  29.440|    3.566|       1.0984|             0.3687|
|GRB100411516|   0.512|    0.231|       3.3739|             0.4718|
|GRB110710954|  22.720|    1.604|       9.4642|             0.8897|
|GRB121122885|   7.936|    0.572|      22.1758|             2.8232|
|GRB101223834|  56.065|    5.497|       0.9302|             0.2918|
|GRB121220311|   5.120|    0.810|       0.6707|             0.2273|
|GRB120226871|  52.993|    0.572|       6.5648|             0.6812|
|GRB081126899|  54.145|    0.923|       4.2751|             0.8146|
|GRB130206482|  11.264|    1.950|       8.3069|             0.5917|
|GRB110213220|  34.305|    1.639|       6.4888|             0.8523|
|GRB110522296|  27.136|    1.950|       1.3795|             0.4152|
|GRB120819048|  66.304|    1.379|       1.5880|             0.4261|
|GRB100212588|   4.864|    1.305|       1.4749|             0.4824|
|GRB121124606|   0.256|    0.842|       1.5780|             0.3595|
|GRB090320801|  29.184|    4.536|       2.0025|             0.4748|
|GRB120729456|  25.472|    2.612|       2.3873|             0.4858|
|GRB090109332|   1.728|    0.820|       1.9352|             0.8193|
|GRB120427153|  22.784|    1.999|       0.8021|             0.3938|
|GRB110421757|  40.449|    0.923|       3.1838|             0.4841|
|GRB100417166|   0.192|    0.091|       4.2153|             0.7063|
|GRB090831317|  39.424|    0.572|      19.2715|             1.5584|
|GRB091020900|  24.256|    7.973|       3.7206|             1.0747|
|GRB120625119|   7.424|    0.571|      10.7418|             1.0377|
|GRB100714672|  35.584|    5.126|       3.3450|             1.0024|
|GRB130208684|  41.472|    2.360|       1.8516|             0.4272|
|GRB090511684|   7.616|    1.605|       1.9376|             0.6817|
|GRB130305486|  25.600|    1.557|      14.9722|             1.0218|
|GRB130112286|  35.328|    1.846|       4.6760|             0.5827|
|GRB120226447|  14.592|    3.916|       4.6480|             1.2170|
|GRB110605183|  82.689|    3.083|       5.2473|             0.6894|
|GRB090815946| 245.508|   17.169|       1.1417|             0.4935|
|GRB120101354|   0.128|    0.072|       4.6060|             0.5396|
|GRB081102739|  34.816|    2.415|       1.8303|             0.7555|
|GRB090902401|   3.200|    1.797|       3.6562|             0.7441|
|GRB090815438|  30.465|    3.566|       2.7756|             0.5367|
|GRB090909487|  14.336|    2.896|       5.1137|             1.5725|
|GRB130304410|  67.841|    2.862|       7.0969|             1.2095|
|GRB081215784|   5.568|    0.143|      70.6130|             2.1323|
|GRB121128212|  17.344|    0.923|      10.8215|             1.0468|
|GRB090429530|  14.336|    4.007|       2.3710|             1.1581|
|GRB091223511|  49.725|    1.379|       2.2526|             0.8181|
|GRB120522361|  28.160|    8.039|       5.4919|             0.7904|
|GRB130228111| 107.778|    1.448|       3.2024|             0.4643|
|GRB120308588|  25.600|    1.557|       8.7681|             1.1995|
|GRB110522256|  28.160|    2.673|       1.3736|             0.4038|
|GRB121125356|  49.857|    2.099|       3.0533|             0.4855|
|GRB101204343|   0.128|    0.091|       4.0834|             0.6254|
|GRB100906576| 110.594|    2.828|       8.0884|             0.7961|
|GRB100722291|   1.280|    0.905|       1.8068|             0.5102|
|GRB081113230|   0.576|    1.350|       3.9645|             0.9885|
|GRB120616630|   0.048|    0.484|       3.2504|             0.8018|
|GRB130404877|   0.960|    1.729|       2.4812|             0.5116|
|GRB091024380| 450.569|    2.360|       2.1453|             0.5790|
|GRB091024372|  93.954|    5.221|       2.5423|             0.6570|
|GRB081229187|   0.768|    0.724|       2.6559|             0.5986|
|GRB120114681|  43.264|    5.804|       1.4747|             0.4583|
|GRB090306245|  27.904|   14.857|       1.2691|             0.3494|
|GRB100519204|  62.913|    3.929|       2.8774|             0.7975|
|GRB080806584|   2.304|    0.453|       1.1902|             0.6187|
|GRB120926335|   4.288|    1.833|       7.8290|             0.6255|
|GRB120206949|   9.472|    3.338|      13.1981|             1.1394|
|GRB101202154|  18.432|    3.665|       3.7438|             0.9185|
|GRB120130938|  38.913|    7.455|       4.4192|             0.7839|
|GRB100506653|  21.376|    1.891|       1.9738|             0.7419|
|GRB120715066|  29.696|    3.083|       2.1395|             0.6013|
|GRB090814368|   0.192|    0.045|       6.1347|             0.6853|
|GRB110903111| 341.254|    2.288|       3.8485|             0.5778|
|GRB100911816|   5.632|    1.999|       1.5827|             0.3480|
|GRB090219074|   0.448|    0.272|       2.7788|             0.9723|
|GRB120129580|   3.072|    0.362|     112.9720|             2.9915|
|GRB130215649|  58.113|    1.557|       5.2046|             1.0240|
|GRB120716577|  24.960|    3.958|       2.0330|             0.6006|
|GRB130224370|  70.913|    4.291|       2.0924|             0.4277|
|GRB090107681|  18.432|    2.896|       2.3656|             1.6261|
|GRB101119685|   0.640|    0.607|       2.5800|             0.6981|
|GRB090824918|  59.905|   10.014|       2.3844|             1.1357|
|GRB121113544|  95.490|    2.611|       5.4096|             0.7647|
|GRB100304004| 181.507|   21.682|       2.6050|             1.3099|
|GRB091106762|  14.592|   16.147|       2.0712|             1.4768|
|GRB081025349|  22.528|    0.724|       2.9820|             0.6806|
|GRB090225009|   2.176|    2.833|       1.0470|             0.6795|
|GRB090620400|  13.568|    0.724|      13.1838|             0.7787|
|GRB100714686|   5.632|    2.064|       9.5451|             1.0927|
|GRB110402009|  35.649|    1.461|      11.9046|             1.5059|
|GRB120415958|  12.544|    1.717|       2.5137|             0.6493|
|GRB081024245|   0.832|    1.282|       3.7835|             0.8110|
|GRB080809808|  28.160|    2.896|       2.5885|             1.1896|
|GRB100410740|  22.016|    4.700|       5.2035|             2.3690|
|GRB090912660| 150.787|    2.360|       1.5864|             0.4609|
|GRB121019233|  14.336|    7.907|       2.2166|             0.5205|
|GRB090621185| 106.754|   14.373|       1.9335|             0.7055|
|GRB130325005|   0.640|    0.453|       2.8425|             0.4706|
|GRB100811781|  78.080|    3.840|       1.9936|             0.4806|
|GRB100929235|   8.192|    2.360|       1.0955|             0.3050|
|GRB120811649|  14.336|    6.557|       3.3383|             0.8170|
|GRB110722710|  14.336|    2.721|       2.2752|             0.5523|
|GRB120911298|  22.016|    1.833|       1.8515|             0.5053|
|GRB121118576|  33.277|    0.808|      17.2317|             0.9083|
|GRB081115891|   0.320|    0.653|       2.6998|             0.4963|
|GRB130106995|  70.401|    0.572|       2.6581|             0.6758|
|GRB081209981|   0.192|    0.143|      11.8246|             1.2140|
|GRB090709630|  22.272|    9.230|       2.0350|             0.6044|
|GRB110428388|   5.632|    0.181|      18.6082|             0.9168|
|GRB080727964|  89.089|    6.476|       2.6460|             0.4777|
|GRB110112934|   2.304|    2.538|       4.8522|             0.6865|
|GRB110221244|  13.056|    1.846|       2.1482|             0.4836|
|GRB111018595|   8.192|    1.864|       1.8810|             0.4522|
|GRB130408653|   9.216|    3.665|       3.7380|             0.6762|
|GRB110919634|  35.073|    3.974|       6.5271|             0.8376|
|GRB111012811|   7.936|    1.145|      12.7565|             0.7686|
|GRB090425377|  75.393|    2.450|       6.7138|             1.7864|
|GRB120915000|   0.576|    1.318|       3.0530|             0.6246|
|GRB110529034|   0.512|    0.091|      22.4590|             0.9765|
|GRB110430375|  32.513|    1.717|       2.1626|             0.4468|
|GRB111012456|  20.736|    0.724|       6.8256|             0.9505|
|GRB090621922|   0.384|    1.032|       5.7999|             0.9103|
|GRB120326056|  11.776|    1.810|       2.8628|             0.4425|
|GRB111222619|   0.288|    0.036|      31.7564|             2.1451|
|GRB081207680|  97.281|    2.347|       3.3396|             0.7268|
|GRB080723985|  42.816|    0.659|       5.9236|             1.2287|
|GRB091115177|  37.376|    2.360|       1.1390|             0.4034|
|GRB090910812|  53.441|   13.334|       3.5423|             0.7157|
|GRB100827455|   0.576|    0.389|       9.3403|             0.8155|
|GRB091219462|   8.128|    1.866|       2.5396|             0.4754|
|GRB110131780|   0.384|    1.478|       2.1724|             0.5539|
|GRB090922539|  87.041|    0.810|       7.9762|             0.8698|
|GRB090305052|   1.856|    0.580|       4.8918|             0.5131|
|GRB110610640|  43.521|    2.862|       3.7673|             0.5320|
|GRB120513531|  23.808|    0.923|       1.3012|             0.3985|
|GRB081224887|  16.448|    1.159|      13.4561|             1.0756|
|GRB111005398|  30.720|    3.093|       1.3547|             0.3631|
|GRB120618128|  17.600|    1.820|       3.2479|             0.5063|
|GRB100724029| 114.690|    3.238|      13.2061|             0.7925|
|GRB091223191|   0.576|    0.181|       2.5629|             0.6065|
|GRB100725475| 146.434|    4.971|       2.0286|             1.3290|
|GRB091230712|  35.137|    3.974|       2.3344|             0.9196|
|GRB120822628|   1.536|    0.842|       0.8240|             0.2264|
|GRB090618353| 112.386|    1.086|      35.5003|             2.5688|
|GRB120530121|  77.054|    1.810|       2.7431|             0.5514|
|GRB091019750|   0.208|    0.172|       4.4818|             0.6924|
|GRB111018785|  29.697|    1.810|       1.2534|             0.4760|
|GRB080803772|  26.240|    1.691|       1.8579|             0.3543|
|GRB091012783|   0.704|    2.499|       9.3519|             1.0915|
|GRB090813174|   7.552|    0.362|      15.1617|             1.0988|
|GRB110201399|   8.192|    0.870|       3.2791|             0.9094|
